,name,id,gender,birthday,deathday,hometown,location,nationality,sortable_name,slug,problem
1223,Studio of Sir Peter Paul Rubens,50eca45bd006a38e4a0000ac,male,1577,1640,"Siegen, Germany","Antwerp, Belgium",no-info,Studio of Sir Peter Paul Rubens,studio-of-sir-peter-paul-rubens,
1224,Constant Troyon,515b07a638ad2d78ca000135,male,1810,1865,"Sèvres, France","Paris, France",French,Troyon Constant,constant-troyon,
1225,Leonardo da Vinci,4d8b92684eb68a1b2c00009e,male,1452,1519,"Anchiano, Italy","Clos Lucé, Amboise, France",Italian,da Vinci Leonardo,leonardo-da-vinci,
1226,Édouard Vuillard,4eb3074a248a260001000250,male,1868,1940,"Cuiseaux, France","Paris, France",French,Vuillard Édouard,edouard-vuillard,
1227,Adrien Manglard,50eaee531f4a9ee55d00003d,male,1695,1760,"Lyon, France","Rome, Italy",French,Manglard Adrien,adrien-manglard,
1228,Pierre Puvis de Chavannes,4fd669961bab5b0001000878,male,1824,1889,"Lyon, France","Paris, France",French,Puvis de Chavannes Pierre,pierre-puvis-de-chavannes,
1229,Pierre Puvis de Chavannes,4fd669961bab5b0001000878,male,1824,1889,"Lyon, France","Paris, France",French,Puvis de Chavannes Pierre,pierre-puvis-de-chavannes,
1230,Auguste Rodin,4e9764016ba71200010022d9,male,1840,1917,"Paris, France","Meudon, France",French,Rodin Auguste,auguste-rodin,
1231,Franz von Stuck,515b7417ea092f56b200041a,male,1863,1928,"Tettenweis, Germany","Munich, Germany",German,Franz von Stuck,franz-von-stuck,
1232,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
1233,Edgar Degas,4dadd2177129f05924000c68,male,1834,1917,"Paris, France","Paris, France",French,Degas Edgar,edgar-degas,
1234,Lovis Corinth,506b33494466170002000731,male,1858,1925,"Gvardeysk, Russia","Zandvoort, Netherlands",German,Corinth Lovis,lovis-corinth,
1235,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
1236,Guido Reni,4f0648328501fa10ca000302,male,1575,1642,,,Italian,Reni Guido,guido-reni,
1237,Jean-Baptiste Huet I,515bacf394714c2e380010c0,male,1745,1811,"Paris, France","Paris, France",French,Jean-Baptiste Huet I,jean-baptiste-huet-i,
1238,Anthony Devis,515b3b519562c86fb8001e93,male,1729,1816,"Preston, UK",no-info,no-info,Devis Anthony,anthony-devis,
1239,Biagio d'Antonio,516caad6078b327cee000966,male,no-info,no-info,no-info,no-info,no-info,d'Antonio Biagio,biagio-dantonio,
1240,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
1241,Lovis Corinth,506b33494466170002000731,male,1858,1925,"Gvardeysk, Russia","Zandvoort, Netherlands",German,Corinth Lovis,lovis-corinth,
1242,John Dawson Watson,515b2462056351dc330013c2,male,1832,1892,"Sedbergh, UK",no-info,no-info,John Dawson Watson,john-dawson-watson,
1243,Merry-Joseph Blondel,515b666294714cb2e30000e8,male,1781,1853,no-info,no-info,no-info,Blondel Merry-Joseph,merry-joseph-blondel,
1244,François-André Vincent after Giovanni Benedetto Castiglione,515bbf7b1b12b0e6680024e7,no-info,no-info,no-info,no-info,no-info,no-info,François-André Vincent after Giovanni Benedetto Castiglione,francois-andre-vincent-after-giovanni-benedetto-castiglione,
1245,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
1246,Louis Gustave Taraval,515b450f056351dc330024b1,no-info,no-info,no-info,no-info,no-info,no-info,Louis Gustave Taraval,louis-gustave-taraval,
1247,Johann Elias Ridinger,515b4b2e9562c8b443000356,male,1698,1767,no-info,no-info,no-info,Johann Elias Ridinger,johann-elias-ridinger,
1248,Duccio,4f956e21ceaf2a0001000948,male,active 1278,c. 1319,"Siena, Italy","Siena, Italy",Italian,Duccio,duccio,
1249,Cima da Conegliano,4f0648328501fa10ca0000ad,male,1459,1517,no-info,no-info,Venetian,Cima da Conegliano,cima-da-conegliano,
1250,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
1251,John Gould and H.C. Richter,515b178e056351dc33000cda,male,1804,1881,no-info,"London, UK",English,John Gould and H.C. Richter,john-gould-and-hc-richter,
1252,George Frederic Watts,515bbc661b12b0244a0022bf,male,1817,1904,"London, UK",no-info,British,George Frederic Watts,george-frederic-watts,
1253,A. Haddock,515b579a0563514974000052,no-info,no-info,no-info,no-info,no-info,no-info,Haddock A.,a-haddock,
1254,Ernst Ludwig Kirchner,4edfe1f10f64f500010000bc,male,1880,1938,"Aschaffenburg, Germany","Dresden, Germany",German,Kirchner Ernst Ludwig,ernst-ludwig-kirchner,
1255,Jacob Eichholtz,515b5afb9562c8b4430007d3,male,no-info,no-info,no-info,no-info,no-info,Eichholtz Jacob,jacob-eichholtz,
1256,John Smith after Sir Godfrey Kneller,515b0e1f223afae9a5000402,no-info,no-info,no-info,no-info,no-info,no-info,John Smith after Sir Godfrey Kneller,john-smith-after-sir-godfrey-kneller,
1257,Edmond Aman-Jean,515b1441056351dc33000b03,male,1858,1936,no-info,no-info,no-info,Aman-Jean Edmond,edmond-aman-jean,
1258,Franz Karl Palko,515b079e9562c86fb8000233,no-info,no-info,no-info,no-info,no-info,no-info,Franz Karl Palko,franz-karl-palko,
