,name,id,gender,birthday,deathday,hometown,location,nationality,sortable_name,slug,problem
0,Hans Holbein the Younger,4eb1c838b4da19000100cece,male,1497,1543,"Augsburg, Germany","London, UK",German,Hans Holbein the Younger,hans-holbein-the-younger,
1,Raphael,4edfe7b17cb5c400010000eb,male,1483,1520,"Urbino, Italy","Rome, Italy",Italian,Raphael,raphael,
2,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
3,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
4,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
5,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
6,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
7,Raphael,4edfe7b17cb5c400010000eb,male,1483,1520,"Urbino, Italy","Rome, Italy",Italian,Raphael,raphael,
8,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
9,Melchior Broederlam,52026ff39c18db8cf300001c,male,1350,1409,no-info,no-info,no-info,Broederlam Melchior,melchior-broederlam,
10,"Giovanni Battista Gaulli, called Baciccio",5155f3e5b88851af51000220,male,1639,1709,"Genoa, Italy","Rome, Italy",Italian,"Giovanni Battista Gaulli, called Baciccio",giovanni-battista-gaulli-called-baciccio,
11,Cornelis Ploos van Amstel after Jan van Goyen,515b00a69562c8fee200008d,no-info,no-info,no-info,no-info,no-info,no-info,Cornelis Ploos van Amstel after Jan van Goyen,cornelis-ploos-van-amstel-after-jan-van-goyen,
12,Johannes and Lucas van Doetechum after the Master of the Small Landscapes,515b00a6223afad71600009f,no-info,no-info,no-info,no-info,no-info,no-info,Johannes and Lucas van Doetechum after the Master of the Small Landscapes,johannes-and-lucas-van-doetechum-after-the-master-of-the-small-landscapes,
13,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
14,Camille Pissarro,4eb2e9d26e2a5c0001008d80,male,1830,1903,"Charlotte Amalie, St. Thomas, U.S. Virgin Islands","Paris, France",French,Pissarro Camille,camille-pissarro,
15,Auguste Rodin,4e9764016ba71200010022d9,male,1840,1917,"Paris, France","Meudon, France",French,Rodin Auguste,auguste-rodin,
16,Auguste Lepère,5159f193a13947dd1d00005d,male,1849,1918,"Paris, France",no-info,French,Lepère Auguste,auguste-lepere,
17,Berthe Morisot,4eb02539f21e2500010014a2,female,1841,1895,"Bourges, France","Paris, France",French,Morisot Berthe,berthe-morisot,
18,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
19,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
20,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
21,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
22,Paul Gauguin,4d8b927c4eb68a1b2c00015a,male,1848,1903,"Paris, France","Atuona, French Polynesia",French,Gauguin Paul,paul-gauguin,
23,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
24,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
25,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
26,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
27,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
28,Annibale Carracci,50fd639c79e445f42400013a,male,1560,1609,"Bologna, Italy","Rome, Italy",Italian,Annibale Carracci,annibale-carracci-1,
29,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
30,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
31,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
32,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
33,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
34,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
35,Elizabeth Gould,515b079f38ad2d78ca00010b,no-info,no-info,no-info,no-info,no-info,no-info,Gould Elizabeth,elizabeth-gould,
36,David Lucas after John Constable,515b079f38ad2dfc7700015c,no-info,no-info,no-info,no-info,no-info,no-info,David Lucas after John Constable,david-lucas-after-john-constable,
37,Jean Morin after Philippe de Champaigne,515b07a0056351dc330002ec,no-info,no-info,no-info,no-info,no-info,no-info,Jean Morin after Philippe de Champaigne,jean-morin-after-philippe-de-champaigne,
38,P. Frieselhem,515b07a338ad2d78ca000127,no-info,no-info,no-info,no-info,no-info,no-info,Frieselhem P.,p-frieselhem,
39,John Crome,515b07a638ad2dfc7700018d,male,1768,1821,"Norwich, USA",no-info,no-info,Crome John,john-crome,
40,Jules Chéret,515b07a7223afa7ea8000181,male,1836,1932,"Paris, France","Paris, France",French,Chéret Jules,jules-cheret,
41,After Jean-Baptiste Huet I,5a20ea222a893a0a9e5f2d7b,,no-info,no-info,no-info,no-info,no-info,After Jean-Baptiste Huet I,after-jean-baptiste-huet-i,
42,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
43,Louis Le Coeur after Nicolas Lavreince,515b07a838ad2dfc770001a9,no-info,no-info,no-info,no-info,no-info,no-info,Louis Le Coeur after Nicolas Lavreince,louis-le-coeur-after-nicolas-lavreince,
44,Charles Meryon,515b07a3223afa7ea8000173,male,1821,1868,"Paris, France",no-info,French,Meryon Charles,charles-meryon,
45,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
46,Elizabeth Gould,515b079f38ad2d78ca00010b,no-info,no-info,no-info,no-info,no-info,no-info,Gould Elizabeth,elizabeth-gould,
47,Auguste Lepère,5159f193a13947dd1d00005d,male,1849,1918,"Paris, France",no-info,French,Lepère Auguste,auguste-lepere,
48,James Abbott McNeill Whistler,4f39397e6779d800010009fa,male,1834,1903,"Lowell, MA, United States","London, UK",American,Whistler James Abbott McNeill,james-abbott-mcneill-whistler,
49,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
50,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
51,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
52,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
53,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
54,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
55,Giovanni Battista Piranesi,4eb3016b48eeb8000100eb13,male,1720,1778,"Mogliano, Italy","Rome, Italy",Italian,Piranesi Giovanni Battista,giovanni-battista-piranesi,
56,Thomas Rowlandson,515b045b9562c8fee20000d5,male,1756,1827,"London, UK","London, UK",British,Rowlandson Thomas,thomas-rowlandson,
57,Jan Lievens,4ee68ebea8d5f70001001a6c,male,1607,1674,no-info,no-info,no-info,Lievens Jan,jan-lievens,
58,Salvatore Tresca after Louis-Léopold Boilly,515b0aea223afae9a50001ef,no-info,no-info,no-info,no-info,no-info,no-info,Salvatore Tresca after Louis-Léopold Boilly,salvatore-tresca-after-louis-leopold-boilly,
59,Niccolò Schiavonetti after Francis Wheatley,515b0aea9562c86fb80003d4,no-info,no-info,no-info,no-info,no-info,no-info,Niccolò Schiavonetti after Francis Wheatley,niccolo-schiavonetti-after-francis-wheatley,
60,George Scharf after John Flaxman,515b0aec223afa7ea80002fb,no-info,no-info,no-info,no-info,no-info,no-info,George Scharf after John Flaxman,george-scharf-after-john-flaxman,
61,After Jean-Baptiste Oudry,59d6d0aa9c18db247ae320ac,,no-info,no-info,no-info,no-info,no-info,After Jean-Baptiste Oudry,after-jean-baptiste-oudry,
62,Antoine Louis François Sergent-Marceau,515b0af0223afae9a5000202,male,1751,1847,"Chartres, France","Nice, France",French,Sergent-Marceau Antoine Louis François,antoine-louis-francois-sergent-marceau,
63,Jan Christiaan Sepp,515b0aee9562c86fb80003e9,no-info,no-info,no-info,no-info,no-info,no-info,Jan Christiaan Sepp,jan-christiaan-sepp,
64,Louis-Marin Bonnet,515b0e1c9562c8fee20005a7,no-info,no-info,no-info,no-info,no-info,no-info,Bonnet Louis-Marin,louis-marin-bonnet,
65,Laurent Cars after Jean-Baptiste Oudry,515b0afa223afa7ea8000311,no-info,no-info,no-info,no-info,no-info,no-info,Laurent Cars after Jean-Baptiste Oudry,laurent-cars-after-jean-baptiste-oudry,
66,W. Hart,515b0afa05635113a5000578,no-info,no-info,no-info,no-info,no-info,British,Hart W.,w-hart,
67,Jean Huber,515b0afb223afae9a500022c,male,1721,no-info,no-info,no-info,no-info,Huber Jean,jean-huber,
68,Johannes and Lucas van Doetechum after Master of the Small Landscapes,515b0afc223afa7ea800031f,no-info,no-info,no-info,no-info,no-info,no-info,Johannes and Lucas van Doetechum after Master of the Small Landscapes,johannes-and-lucas-van-doetechum-after-master-of-the-small-landscapes,
69,Joseph Mallord William Turner and Thomas Hodgetts,515b0afe9562c8fee20003fd,no-info,no-info,no-info,no-info,no-info,no-info,Joseph Mallord William Turner and Thomas Hodgetts,joseph-mallord-william-turner-and-thomas-hodgetts,
70,Philibert-Louis Debucourt,515b0afe9562c86fb8000425,male,1765,1832,no-info,no-info,no-info,Debucourt Philibert-Louis,philibert-louis-debucourt,
71,Albrecht Dürer,4eaf0d2e6899c80001008f80,male,1471,1528,"Nuremberg, Germany","Nuremberg, Germany",German,Dürer Albrecht,albrecht-durer,
72,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
73,James Abbott McNeill Whistler,4f39397e6779d800010009fa,male,1834,1903,"Lowell, MA, United States","London, UK",American,Whistler James Abbott McNeill,james-abbott-mcneill-whistler,
74,Thomas Rowlandson,515b045b9562c8fee20000d5,male,1756,1827,"London, UK","London, UK",British,Rowlandson Thomas,thomas-rowlandson,
75,Thomas Rowlandson,515b045b9562c8fee20000d5,male,1756,1827,"London, UK","London, UK",British,Rowlandson Thomas,thomas-rowlandson,
76,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
77,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
78,William Blake (1757-1827),4f0648318501fa10ca000052,male,1757,1827,"London, UK","London, UK",British,William Blake (1757-1827),william-blake-1757-1827,
79,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
80,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
81,Paul Gauguin,4d8b927c4eb68a1b2c00015a,male,1848,1903,"Paris, France","Atuona, French Polynesia",French,Gauguin Paul,paul-gauguin,
82,Stefano Della Bella,515b079d38ad2d78ca0000fd,male,1610,1664,no-info,no-info,no-info,Stefano Della Bella,stefano-della-bella,
83,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
84,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
85,Paul Gauguin,4d8b927c4eb68a1b2c00015a,male,1848,1903,"Paris, France","Atuona, French Polynesia",French,Gauguin Paul,paul-gauguin,
86,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
87,Mark Catesby,5159f19400b0bafa93000303,male,1683,1749,no-info,no-info,no-info,Catesby Mark,mark-catesby,
88,Jean-Baptiste-Camille Corot,4eb2e5236e2a5c000100893f,male,1796,1875,"Paris, France","Paris, France",French,Corot Jean-Baptiste-Camille,jean-baptiste-camille-corot,
89,Armand Guillaumin,4ef0b5fa1a4468000100008a,male,1841,1927,"Paris, France","Orly, France",French,Guillaumin Armand,armand-guillaumin,
90,Jean Morin after Philippe de Champaigne,515b07a0056351dc330002ec,no-info,no-info,no-info,no-info,no-info,no-info,Jean Morin after Philippe de Champaigne,jean-morin-after-philippe-de-champaigne,
91,Théophile Alexandre Steinlen,507c4401a49a1100020002c7,male,1859,1923,"Lausanne, Switzerland","Paris, France",French,Steinlen Théophile Alexandre,theophile-alexandre-steinlen,
92,John Baptist Jackson after Leandro Bassano,515b0e1a056351dc33000732,no-info,no-info,no-info,no-info,no-info,no-info,John Baptist Jackson after Leandro Bassano,john-baptist-jackson-after-leandro-bassano,
93,Felix Régamey after Alphonse Legros,515b0e1a223afae9a50003d8,no-info,no-info,no-info,no-info,no-info,no-info,Felix Régamey after Alphonse Legros,felix-regamey-after-alphonse-legros,
94,After Francis Wheatley,5a3861cfa09a6776720d9305,,no-info,no-info,no-info,no-info,no-info,After Francis Wheatley,after-francis-wheatley,
95,Ferdinand Gaillard after Donatello,515b0e1c9562c86fb80005d8,no-info,no-info,no-info,no-info,no-info,no-info,Ferdinand Gaillard after Donatello,ferdinand-gaillard-after-donatello,
96,Maria Denman after John Flaxman,515b0e1d38ad2dfc77000563,no-info,no-info,no-info,no-info,no-info,no-info,Maria Denman after John Flaxman,maria-denman-after-john-flaxman,
97,Joseph Wolf and H.C. Richter,515b0e1e05635113a50007a0,no-info,no-info,no-info,no-info,no-info,no-info,Joseph Wolf and H.C. Richter,joseph-wolf-and-hc-richter,
98,John Baptist Jackson after Jacopo Tintoretto,515b0e1e38ad2dfc77000571,no-info,no-info,no-info,no-info,no-info,no-info,John Baptist Jackson after Jacopo Tintoretto,john-baptist-jackson-after-jacopo-tintoretto,
99,J. Smit,515b0e1f223afa7c7400009a,no-info,no-info,no-info,no-info,no-info,no-info,Smit J.,j-smit,
100,Leendert van der Cooghen,515b0e2305635113a50007b5,male,1632,1681,no-info,no-info,no-info,Leendert van der Cooghen,leendert-van-der-cooghen,
101,William Blake (1757-1827),4f0648318501fa10ca000052,male,1757,1827,"London, UK","London, UK",British,William Blake (1757-1827),william-blake-1757-1827,
102,Maria Denman after John Flaxman,515b0e1d38ad2dfc77000563,no-info,no-info,no-info,no-info,no-info,no-info,Maria Denman after John Flaxman,maria-denman-after-john-flaxman,
103,David Lucas after John Constable,515b079f38ad2dfc7700015c,no-info,no-info,no-info,no-info,no-info,no-info,David Lucas after John Constable,david-lucas-after-john-constable,
104,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
105,Heinrich Aldegrever,5159f18f00b0bafa930002e0,male,1502,no-info,no-info,no-info,no-info,Aldegrever Heinrich,heinrich-aldegrever,
106,Stefano Della Bella,515b079d38ad2d78ca0000fd,male,1610,1664,no-info,no-info,no-info,Stefano Della Bella,stefano-della-bella,
107,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
108,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
109,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
110,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
111,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
112,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
113,Edward Lear,50eb27860ee7f6bc96000377,male,1812,1888,"London, UK","San Remo, Italy",British,Lear Edward,edward-lear,
114,Giovanni Battista Piranesi,4eb3016b48eeb8000100eb13,male,1720,1778,"Mogliano, Italy","Rome, Italy",Italian,Piranesi Giovanni Battista,giovanni-battista-piranesi,
115,Thomas Rowlandson,515b045b9562c8fee20000d5,male,1756,1827,"London, UK","London, UK",British,Rowlandson Thomas,thomas-rowlandson,
116,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
117,Stefano Della Bella,515b079d38ad2d78ca0000fd,male,1610,1664,no-info,no-info,no-info,Stefano Della Bella,stefano-della-bella,
118,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
119,Nicolaes Pietersz Berchem,515b111e38ad2d78ca000619,male,1620,1683,no-info,no-info,Dutch,Nicolaes Pietersz Berchem,nicolaes-pietersz-berchem,
120,Wenceslaus Hollar after Hans Holbein the Younger after Abraham van Diepenbeeck,515b111f38ad2dfc770006d0,no-info,no-info,no-info,no-info,no-info,no-info,Wenceslaus Hollar after Hans Holbein the Younger after Abraham van Diepenbeeck,wenceslaus-hollar-after-hans-holbein-the-younger-after-abraham-van-diepenbeeck,
121,Henry Bernard Chalon,515b111f223afae9a50005de,male,1770,1849,no-info,no-info,no-info,Henry Bernard Chalon,henry-bernard-chalon,
122,Jean Duplessis-Bertaux,515b1121056351dc33000911,no-info,no-info,no-info,no-info,no-info,no-info,Duplessis-Bertaux Jean,jean-duplessis-bertaux,
123,"Thomas Butts, Jr.",515b112105635113a5000964,no-info,no-info,no-info,no-info,no-info,no-info,"Thomas Butts, Jr.",thomas-butts-jr,
124,Charles-Melchior Descourtis,515b11259562c8fee200077c,male,1753,1820,"Paris, France",no-info,French,Descourtis Charles-Melchior,charles-melchior-descourtis,
125,Alfred Rethel,515b112705635113a5000980,male,1816,1859,no-info,no-info,no-info,Rethel Alfred,alfred-rethel,
126,Jacques-Philippe Le Bas and Jean Eric Rehn after Jean-Baptiste Oudry,515b1129223afae9a500060f,no-info,no-info,no-info,no-info,no-info,no-info,Jacques-Philippe Le Bas and Jean Eric Rehn after Jean-Baptiste Oudry,jacques-philippe-le-bas-and-jean-eric-rehn-after-jean-baptiste-oudry,
127,Wolf Traut,515b1128223afae9a5000608,male,c. 1485,1520,"Nuremberg, Germany",no-info,German,Traut Wolf,wolf-traut,
128,Carlo Lasinio,515b112a056351dc33000942,male,1759,1838,no-info,no-info,no-info,Lasinio Carlo,carlo-lasinio,
129,Master S,515b246405635113a500149a,no-info,no-info,no-info,no-info,no-info,no-info,S Master,master-s,
130,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
131,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
132,James Abbott McNeill Whistler,4f39397e6779d800010009fa,male,1834,1903,"Lowell, MA, United States","London, UK",American,Whistler James Abbott McNeill,james-abbott-mcneill-whistler,
133,Giovanni Battista Piranesi,4eb3016b48eeb8000100eb13,male,1720,1778,"Mogliano, Italy","Rome, Italy",Italian,Piranesi Giovanni Battista,giovanni-battista-piranesi,
134,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
135,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
136,Stefano Della Bella,515b079d38ad2d78ca0000fd,male,1610,1664,no-info,no-info,no-info,Stefano Della Bella,stefano-della-bella,
137,Allart van Everdingen,515b04339562c86fb8000117,no-info,no-info,no-info,no-info,no-info,no-info,Allart van Everdingen,allart-van-everdingen,
138,Théophile Alexandre Steinlen,507c4401a49a1100020002c7,male,1859,1923,"Lausanne, Switzerland","Paris, France",French,Steinlen Théophile Alexandre,theophile-alexandre-steinlen,
139,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
140,Workshop of Master of the Aachen Madonna,515b143e05635113a5000b50,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Master of the Aachen Madonna,workshop-of-master-of-the-aachen-madonna,
141,Michele Bisi,515b143f9562c86fb80008ff,male,1788,1874,no-info,no-info,no-info,Bisi Michele,michele-bisi,
142,Thomas Stothard,515b143f223afa7c7400041d,male,1755,1834,"London, UK",no-info,no-info,Stothard Thomas,thomas-stothard,
143,William Fairland after John Flaxman,515b143f05635113a5000b57,no-info,no-info,no-info,no-info,no-info,no-info,William Fairland after John Flaxman,william-fairland-after-john-flaxman,
144,Cornelis Ploos van Amstel and Johannes Kornlein after Gerrit Dou,515b143f38ad2dfc7700087a,no-info,no-info,no-info,no-info,no-info,no-info,Cornelis Ploos van Amstel and Johannes Kornlein after Gerrit Dou,cornelis-ploos-van-amstel-and-johannes-kornlein-after-gerrit-dou,
145,George Brookshaw,515b144005635113a5000b5e,male,1751,1823,"London, UK","London, UK",English,Brookshaw George,george-brookshaw,
146,Alfred R. Waud,515b1441223afae9a50007dd,no-info,no-info,no-info,no-info,no-info,no-info,Alfred R. Waud,alfred-r-waud,
147,Etienne after Honoré Daumier,515b1441223afa7c74000439,no-info,no-info,no-info,no-info,no-info,no-info,Etienne after Honoré Daumier,etienne-after-honore-daumier,
148,Marcellin-Gilbert Desboutin,515b1442223afae9a50007eb,no-info,no-info,no-info,no-info,no-info,no-info,Desboutin Marcellin-Gilbert,marcellin-gilbert-desboutin,
149,John Skippe after Parmigianino,515b1445056351dc33000b26,no-info,no-info,no-info,no-info,no-info,no-info,John Skippe after Parmigianino,john-skippe-after-parmigianino,
150,After Winslow Homer,515b14469562c86fb8000937,no-info,1836,1910,no-info,no-info,American,After Winslow Homer,after-winslow-homer,
151,William Blake (1757-1827),4f0648318501fa10ca000052,male,1757,1827,"London, UK","London, UK",British,William Blake (1757-1827),william-blake-1757-1827,
152,Albrecht Dürer,4eaf0d2e6899c80001008f80,male,1471,1528,"Nuremberg, Germany","Nuremberg, Germany",German,Dürer Albrecht,albrecht-durer,
153,Mark Catesby,5159f19400b0bafa93000303,male,1683,1749,no-info,no-info,no-info,Catesby Mark,mark-catesby,
154,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
155,Auguste Lepère,5159f193a13947dd1d00005d,male,1849,1918,"Paris, France",no-info,French,Lepère Auguste,auguste-lepere,
156,Philibert-Louis Debucourt,515b0afe9562c86fb8000425,male,1765,1832,no-info,no-info,no-info,Debucourt Philibert-Louis,philibert-louis-debucourt,
157,Antoine Louis François Sergent-Marceau,515b0af0223afae9a5000202,male,1751,1847,"Chartres, France","Nice, France",French,Sergent-Marceau Antoine Louis François,antoine-louis-francois-sergent-marceau,
158,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
159,Bartolomeo Coriolano after Guido Reni,515b0e23056351dc3300075c,no-info,no-info,no-info,no-info,no-info,no-info,Bartolomeo Coriolano after Guido Reni,bartolomeo-coriolano-after-guido-reni,
160,"Johannes van Doetechum, the Elder and Lucas van Doetechum after Master of the Small Landscapes",515b042d38ad2dfc7700001b,no-info,no-info,no-info,no-info,no-info,no-info,"Johannes van Doetechum, the Elder and Lucas van Doetechum after Master of the Small Landscapes",johannes-van-doetechum-the-elder-and-lucas-van-doetechum-after-master-of-the-small-landscapes,
161,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
162,Giovanni Battista Piranesi,4eb3016b48eeb8000100eb13,male,1720,1778,"Mogliano, Italy","Rome, Italy",Italian,Piranesi Giovanni Battista,giovanni-battista-piranesi,
163,Jean-Baptiste-Camille Corot,4eb2e5236e2a5c000100893f,male,1796,1875,"Paris, France","Paris, France",French,Corot Jean-Baptiste-Camille,jean-baptiste-camille-corot,
164,Heinrich Aldegrever,5159f18f00b0bafa930002e0,male,1502,no-info,no-info,no-info,no-info,Aldegrever Heinrich,heinrich-aldegrever,
165,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
166,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
167,Stefano Della Bella,515b079d38ad2d78ca0000fd,male,1610,1664,no-info,no-info,no-info,Stefano Della Bella,stefano-della-bella,
168,Workshop of Master of the Aachen Madonna,515b143e05635113a5000b50,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Master of the Aachen Madonna,workshop-of-master-of-the-aachen-madonna,
169,Charles Meryon,515b07a3223afa7ea8000173,male,1821,1868,"Paris, France",no-info,French,Meryon Charles,charles-meryon,
170,Daniel Nikolaus Chodowiecki,515b042c223afa7ea8000041,no-info,no-info,no-info,no-info,no-info,no-info,Daniel Nikolaus Chodowiecki,daniel-nikolaus-chodowiecki,
171,Allart van Everdingen,515b04339562c86fb8000117,no-info,no-info,no-info,no-info,no-info,no-info,Allart van Everdingen,allart-van-everdingen,
